module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1397,4,0,0,4,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.25000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1399,1,0,0,1,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1403,1,0,0,1,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1406,2,0,0,2,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1408,12,2,9,4,282,0.860427,0,0.000000,0.000000,0.083333,0.250000,0.166667,0.000000,0.333333,0.166667,0.50000000000000000000,0.33333333333333333333,0.50000000000000000000,FALSE
1409,13,3,9,3,36,,127,0.000000,0.000000,0.076923,0.153846,0.076923,0.153846,0.307692,0.230769,0.75000000000000000000,0.30000000000000000000,0.44444444444444444444,FALSE
1410,13,3,9,3,36,,128,0.000000,0.000000,0.076923,0.153846,0.076923,0.153846,0.307692,0.230769,0.75000000000000000000,0.30000000000000000000,0.44444444444444444444,FALSE
1411,17,5,14,3,266,0.571899,106,0.000000,0.000000,0.058824,0.117647,0.117647,0.058824,0.235294,0.411765,0.84620000000000000000,0.20334595959595959596,0.61654135338345864662,FALSE
1412,13,3,9,3,26,,63,0.000000,0.000000,0.076923,0.153846,0.076923,0.153846,0.307692,0.230769,0.71430000000000000000,0.30000000000000000000,0.46153846153846153846,FALSE
1413,1,0,0,1,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1414,27,4,26,2,38,0.890259,48,0.000000,0.000000,0.037037,0.037037,0.074074,0.074074,0.074074,0.703704,0.80000000000000000000,0.25892857142857142857,0.31578947368421052632,FALSE
1415,47,12,45,4,80,,177,0.000000,0.000000,0.021277,0.063830,0.021277,0.191489,0.021277,0.680851,0.81250000000000000000,0.25571530125927578769,0.17500000000000000000,FALSE
1416,17,3,16,1,12,1.000000,70,0.000000,0.000000,0.058824,0.000000,0.117647,0.058824,0.117647,0.647059,1.00000000000000000000,0.30555555555555555556,0.33333333333333333333,FALSE
1417,24,6,23,7,1102,,0,0.041667,0.000000,0.041667,0.083333,0.041667,0.041667,0.041667,0.708333,0.61900000000000000000,0.22048611111111111111,0.85753176043557168784,FALSE
1418,57,17,55,7,554,0.257318,0,0.000000,0.000000,0.017544,0.000000,0.017544,0.017544,0.052632,0.894737,0.78050000000000000000,0.19109858732959036910,0.71660649819494584838,FALSE
1419,6,1,3,3,2,,0,0.000000,0.000000,0.166667,0.333333,0.000000,0.166667,0.333333,0.000000,0.33330000000000000000,0.75000000000000000000,1.00000000000000000000,FALSE
1421,1,0,0,1,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1422,3,0,0,3,0,,179,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.33330000000000000000,0.00000000000000000000,0.00000000000000000000,TRUE
1423,2,0,0,2,0,,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
1428,16,2,16,1,44,0.684038,0,0.000000,0.000000,0.000000,0.062500,0.062500,0.062500,0.250000,0.562500,1.00000000000000000000,0.25333333333333333333,0.81818181818181818182,FALSE
1430,8,2,7,2,153,0.833072,0,0.000000,0.000000,0.125000,0.125000,0.125000,0.000000,0.625000,0.000000,0.66670000000000000000,0.25000000000000000000,0.98692810457516339869,FALSE
1431,7,2,7,1,94,0.784992,0,0.000000,0.000000,0.142857,0.000000,0.142857,0.000000,0.714286,0.000000,1.00000000000000000000,0.25000000000000000000,0.97872340425531914894,FALSE
1432,46,12,45,4,6423,0.843787,0,0.000000,0.000000,0.043478,0.000000,0.021739,0.021739,0.043478,0.869565,0.80950000000000000000,0.18095947353300294477,0.72909855207846800560,FALSE
1433,24,6,23,1,733,0.849528,835,0.000000,0.000000,0.041667,0.000000,0.083333,0.041667,0.125000,0.708333,1.00000000000000000000,0.25336538461538461538,0.48158253751705320600,TRUE
1434,11,2,11,1,48,,0,0.000000,0.000000,0.090909,0.000000,0.090909,0.000000,0.454545,0.363636,1.00000000000000000000,0.24282296650717703349,0.95833333333333333333,FALSE
1435,30,8,28,3,241,0.730398,0,0.000000,0.000000,0.033333,0.066667,0.033333,0.100000,0.133333,0.633333,0.86670000000000000000,0.19182461385808241792,0.49792531120331950207,FALSE
1436,17,3,12,6,483,0.525498,0,0.000000,0.000000,0.058824,0.294118,0.000000,0.058824,0.411765,0.176471,0.37500000000000000000,0.22962962962962962963,0.99171842650103519669,FALSE
1437,24,6,20,6,32,0.171475,0,0.041667,0.000000,0.041667,0.166667,0.000000,0.166667,0.125000,0.458333,0.64290000000000000000,0.20907029478458049887,0.53125000000000000000,FALSE
1438,17,5,17,1,55,0.980597,0,0.000000,0.000000,0.058824,0.000000,0.176471,0.058824,0.117647,0.588235,1.00000000000000000000,0.19885272186677874811,0.45454545454545454545,FALSE
1439,17,5,17,1,47,0.999673,0,0.000000,0.000000,0.058824,0.000000,0.176471,0.058824,0.117647,0.588235,1.00000000000000000000,0.19885272186677874811,0.44680851063829787234,FALSE
1441,8,2,8,1,127,0.583300,19,0.000000,0.000000,0.125000,0.000000,0.250000,0.000000,0.375000,0.250000,1.00000000000000000000,0.31722689075630252101,0.83464566929133858268,TRUE
1442,5,1,5,1,8,,8,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.600000,0.000000,1.00000000000000000000,0.38461538461538461538,1.00000000000000000000,FALSE
1468,32,6,32,3,622,0.662355,167,0.000000,0.000000,0.031250,0.062500,0.031250,0.062500,0.125000,0.687500,0.81820000000000000000,0.14872400326945781491,0.82636655948553054662,TRUE
1469,5,1,4,1,22,,78,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,0.600000,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1470,11,1,11,2,12,0.000000,178,0.000000,0.000000,0.090909,0.090909,0.090909,0.000000,0.363636,0.363636,0.50000000000000000000,0.30416666666666666667,1.00000000000000000000,FALSE
1471,11,1,11,2,12,0.000000,170,0.000000,0.000000,0.090909,0.090909,0.090909,0.000000,0.363636,0.363636,0.50000000000000000000,0.30416666666666666667,1.00000000000000000000,FALSE
1473,15,3,14,2,194,0.680584,102,0.000000,0.000000,0.066667,0.066667,0.133333,0.000000,0.266667,0.466667,0.75000000000000000000,0.33048245614035087719,0.89175257731958762887,TRUE
1474,22,5,21,2,18,0.852792,17,0.000000,0.000000,0.090909,0.000000,0.181818,0.045455,0.090909,0.590909,0.85710000000000000000,0.15654761904761904762,0.22222222222222222222,FALSE
1475,25,5,24,1,110,0.946428,26,0.000000,0.000000,0.040000,0.000000,0.080000,0.080000,0.120000,0.680000,1.00000000000000000000,0.18626847290640394089,0.80000000000000000000,FALSE
1476,6,1,6,1,4,,27,0.000000,0.000000,0.166667,0.000000,0.166667,0.000000,0.666667,0.000000,1.00000000000000000000,0.34285714285714285714,1.00000000000000000000,FALSE
1477,6,1,6,1,4,,27,0.000000,0.000000,0.166667,0.000000,0.166667,0.000000,0.666667,0.000000,1.00000000000000000000,0.34285714285714285714,1.00000000000000000000,FALSE
1478,13,3,12,3,23,0.807551,30,0.000000,0.000000,0.153846,0.076923,0.230769,0.000000,0.384615,0.153846,0.66670000000000000000,0.20031055900621118012,0.65217391304347826087,FALSE
1479,12,2,10,3,60,0.959597,91,0.000000,0.000000,0.083333,0.166667,0.166667,0.000000,0.333333,0.250000,0.71430000000000000000,0.25755693581780538302,0.80000000000000000000,FALSE
1480,13,2,13,1,128,0.997180,42,0.000000,0.000000,0.076923,0.000000,0.153846,0.000000,0.384615,0.384615,1.00000000000000000000,0.30002542588354945334,0.90625000000000000000,TRUE
1481,13,3,13,1,21,0.786583,31,0.000000,0.000000,0.076923,0.000000,0.230769,0.000000,0.307692,0.384615,1.00000000000000000000,0.22351190476190476190,0.66666666666666666667,FALSE
1482,10,2,10,1,17,0.997503,27,0.000000,0.000000,0.100000,0.000000,0.200000,0.000000,0.500000,0.200000,1.00000000000000000000,0.29523809523809523810,0.76470588235294117647,FALSE
1484,6,1,6,1,4,,32,0.000000,0.000000,0.166667,0.000000,0.166667,0.000000,0.666667,0.000000,1.00000000000000000000,0.34285714285714285714,1.00000000000000000000,FALSE
